stid,dsid,lat,long,name,area,source,edited,notes
297,303,55.333333,-63.2,Border Beacon,130,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Confimred site and area with publication
300,306,47.457778,-69.452778,Lac Boucané,14.875232285014244,Geographic matching,2,NA
301,307,55.25,-67.4,Boundary Lake,NA,NA,NA,NA
304,311,54.355833,-70.357778,Brisay 2,2,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Seems very likely, but can't confirm completely."
305,312,43.22,-81.73,Brophy Ditch,NA,NA,NA,NA
319,326,46.279167,-70.595833,Lac à la Busque,23,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Minor move.
322,329,45.961111,-73.868056,Saint-Calixte,2.4,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area"
329,336,61.683333,-130.65,Candelabra Lake,1958.0199397180688,Geographic matching,2,NA
330,337,47.639722,-71.235833,Tourbière Caribou,NA,NA,NA,NA
332,339,48.197778,-64.94,Lac Caribou,2.6,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Small nudge, but no real clear map in the figure."
334,341,55.666667,-63.25,Caribou Hill,65,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Confirmed area with publication, unable to confirm exact location of lake"
338,346,46.613889,-72.998611,Lac Castor,0.8,data/by_hand/all_lakes_andria/andrea_areas.csv,3,No Publication but nearby lake named lac Castor
353,361,45.651389,-60.675,Chase Pond,NA,NA,NA,NA
361,371,54.799444,-76.145556,Chism 1,1.8,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,"So many small lakes in the area,"
362,373,53.090833,-76.339167,Chism 2,4.7,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,Too many local lakes
370,381,59.516667,-122.166667,Lac Ciel Blanc,NA,NA,NA,NA
481,493,50.873611,-107.933333,Clearwater Lake,59.84096264278991,Geographic matching,2,NA
484,496,53.9,-66.766667,Coghill Lake,NA,NA,NA,NA
488,500,49.69,-57.71,Comb Lake,NA,NA,NA,NA
489,501,50.034167,-56.196389,Compass Pond,76,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,2,"Confirmed site with pub (Dyer 1986), changed area"
495,507,67.833333,-115.316667,Coppermine Saddleback,NA,NA,NA,NA
496,508,48.966944,-65.95,Lac Côté,31,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Slight nudge.  No pub, but in park is Lac Charles Cote."
498,510,45.960833,-73.341944,Tourbière de Lanoraie COTEAU JAUNE,340,data/by_hand/empty_lakes_sjg/empty_lakes_sjg.shp,3,"Publication is in French (sjg - found pub, added area based on hydrology)"
499,511,52.866667,-118.1,Cottonwood Slough,24,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,In dissertation but checked Jasper Park Maps.
503,516,44.1,-78.1,Cranberry Lake,481.9,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,2,"Confirmed lake with Google Earth, changed area"
506,519,49.183333,-81.266667,Crates Lake,11.404747450843768,Geographic matching,2,NA
507,520,43.5,-79.83,Crawford Lake,2.4,Neotoma,2,NA
507,16124,43.5,-79.83,Crawford Lake,2.4,Neotoma,2,NA
509,522,43.6,-79.6,Creditview Wetland,NA,NA,NA,NA
511,524,52.116667,-90.083333,Cristal Lake,154.74346107925498,Geographic matching,2,NA
512,525,51.65,-116.416667,Crowfoot Lake,17,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,"In Publication, hopefully distinct from Bow Lake"
524,538,48.4075,-89.346667,Cummins Pond,NA,NA,NA,NA
527,17292,55.266667,-105.266667,Cycloid Lake,20,Neotoma,2,NA
533,549,54.883333,-69.4,Daumont,2,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,It's close but I can't quite get it lined up based on the picture & map.
656,672,43.233333,-80.366667,Decoy Lake,3,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Szeicz 1991), changed area"
658,675,54.418889,-69.918889,Delorme 1,0.6,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,Now part of a resevoir.  Impossible to find original site.
659,677,54.423611,-69.929722,Delorme 2,349282.8816634468,Geographic matching,2,NA
660,678,62.05,-118.7,Lac Demain,NA,NA,NA,NA
667,685,75.35,-82.5,Devon Island Glacier,25,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,2,"Confirmed site with Google Earth, changed area"
668,686,60.938889,-69.971944,Diana Cordeau,NA,NA,NA,NA
669,688,60.9875,-69.958333,Diana 375,NA,NA,NA,NA
670,690,60.978889,-69.991944,Diana 500,NA,NA,NA,NA
671,691,48.910833,-66.125,Lac du Diable,11.96627555658984,Geographic matching,2,NA
702,722,46.45,-71.5,Dosquet,NA,NA,NA,NA
754,773,45.85,-70.35,Lac Dufresne,13.987146758723366,Geographic matching,2,NA
758,777,53.233333,-58.55,Eagle Lake,NA,NA,NA,NA
759,778,57.766667,-112.1,Eaglenest Lake,807,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Checked with Google maps
763,782,46.408333,-62.15,East Baltic Bog,1.2,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,2,Confirmed site and area with publication (Anderson)
766,785,44.37,-80.25,Edward Lake,24.144506202380487,Geographic matching,2,NA
770,3125,50.69095,-99.65835000000001,E Lake,3.9,data/by_hand/all_lakes_andria/andrea_areas.csv,2,"Confirmed Lake, Changed Area"
782,802,61.244444,-100.951389,"Ennadai Lake, 1972 Site",44079.519119062046,Geographic matching,2,NA
783,803,61.166667,-100.916667,Ennadai Lake,44079.519119062046,Geographic matching,2,NA
785,805,41.92,-82.76,Lake Erie,247250.90760656988,Geographic matching,2,NA
788,808,48.351944,-123.681667,East Sooke Fen,0.1,data/by_hand/all_lakes_andria/andrea_areas.csv,2,Confirmed site and area with publication
789,810,47.609722,-70.615833,Lac à la Fourche,NA,NA,NA,NA
793,815,52.783333,-117.116667,Excelsior Basin,NA,NA,NA,NA
797,820,58.866944,-71.716944,Lac Faribault,NA,NA,NA,NA
798,821,45.282778,-72.982778,Tourbière de Farnham,410,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Unable to confirm site, Confirmed area: Lavoie, Larouche, Richard 1995"
800,823,45.41,-79.39,Fawn Lake (CA:Ontario),250.1383664523376,Geographic matching,2,NA
805,829,56.25,-121.42,Fiddler's Pond,5.5,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with publication, changed area"
808,832,73.034722,-85.216667,Fish Lake (CA:Nunavut),NA,NA,NA,NA
810,834,54.742222,-101.681667,Beaverhouse Lake,7.2,data/by_hand/all_lakes_andria/all_lakes_andria.shp,2,Right place
814,3149,60.356667,-123.646667,John Klondike Bog,NA,NA,NA,NA
823,849,49.583333,-93.75,Hayes Lake,NA,NA,NA,NA
825,851,43.82,-79.1,Frenchmens Bay,NA,NA,NA,NA
829,856,48.21,-84.93,Furnival Lake,NA,NA,NA,NA
830,857,46.275833,-73.475833,Saint-Gabriel,NA,NA,NA,NA
835,862,44.74,-80.86,"Georgian Bay, Lake Huron (1)",345164.9938935952,Geographic matching,2,NA
836,863,45.17,-81.32,"Georgian Bay, Lake Huron (2)",1190833.0427387673,Geographic matching,2,NA
837,865,45.995833,-73.992778,Lac Geai,NA,NA,NA,NA
842,871,45.945833,-74.370833,Lac à St-Germain,1.5145936521435783,Geographic matching,2,NA
845,874,46.066667,-60.391667,Upper Gillies Lake,9.714344852594976,Geographic matching,2,NA
849,878,49.448,-99.28965,Jones Lake [Glenboro site],50.90667180771167,Geographic matching,2,NA
943,973,45.183333,-77.35,Graham Lake,67,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with Google Earth, changed area"
944,974,53,-98.25,Grand Rapids,371986.7232180091,Geographic matching,2,NA
945,975,64.716667,-100.466667,Grant Lake,NA,NA,NA,NA
946,976,52.25,-67.066667,Lac Gras,679.6884601313005,Geographic matching,2,NA
948,978,55.033333,-62.633333,Gravel Ridge,4763.974724085019,Geographic matching,2,NA
951,981,49.67,-57.95,Green Point Pond,NA,NA,NA,NA
956,986,43.64,-79.47,Grenadier Pond,1.9047611615736488,Geographic matching,2,NA
957,987,50.768889,-55.516667,Grey Islands,54,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Evans 2002), changed area"
958,989,54.146944,-76.128889,Lac Griault,48728.12485859239,Geographic matching,2,NA
969,1000,50.320556,-105.883889,Hafichuk Site,NA,NA,NA,NA
970,1001,60.033333,-129.016667,Hail Lake,1,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,No good indication of location and several nearby sites
971,1002,43.236667,-80.413333,Hams Lake,3.8876685973617584,Geographic matching,2,NA
972,1003,68.383333,-138.383333,Hanging Lake,57,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"No good map, but could line up from pictures in paper."
976,1007,48.2375,-65.838889,Lac Harriman,47.28473094145157,Geographic matching,2,NA
977,1008,52.933333,-66.95,Harrie Lake,NA,NA,NA,NA
979,1010,47.322222,-53.133333,Hawke Hills Kettle,NA,NA,NA,NA
996,1028,58.2,-63.033333,Hebron Lake,NA,NA,NA,NA
1000,1033,45.988889,-73.3,Tourbière de Lanoraie HENRI,NA,NA,NA,NA
1064,3771,56.633333,-63.883333,Snow Lake,152.89548110473393,Geographic matching,2,NA
1072,1105,44.516667,-76.6,High Lake,2.5,data/by_hand/all_lakes_andria/andrea_areas.csv,3,Size is reported but insufficient detail to locate lake.
1074,1107,64.633333,-138.4,Honeymoon Pond,0.5,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Moved lake based on inset map and pictures.
1102,1135,43.64,-79.48,Humber Pond 3,NA,NA,NA,NA
1103,1136,43.64,-79.49,Humber Pond 5,NA,NA,NA,NA
1104,1137,43.65,-79.5,Humber Pond 7,NA,NA,NA,NA
1106,1139,48.618611,-58.965,Hynes Brook Salt Marsh,1020608.7250540428,Geographic matching,2,NA
1109,1142,66.135,-66.083333,Iglutalik Lake,226.7,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,"Confirmed site, changed area"
1113,1147,50.916667,-90.45,Indian Lake,NA,NA,NA,NA
1115,1149,44.483333,-77.05,Inglesby Lake,48,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Fritz et al, 1987), changed area"
1123,1157,47.316667,-81.766667,Jack Lake,NA,NA,NA,NA
1135,1170,50.1883333333333,-114.518333333333,January Cave [EbPp-Vp],NA,NA,NA,NA
1136,1171,50.22,-80.2,James Bay,NA,NA,NA,NA
1219,1254,46.932778,-70.932778,Saint-Jean Ile d'Orléans,NA,NA,NA,NA
1245,17672,43.95,-79.43,Wilcox Lake,55.160058320610666,Geographic matching,2,NA
1356,1391,48.24,-58.24,Joes Pond,NA,NA,NA,NA
1358,1393,47.257778,-71.162778,Tourbière du lac Joncas,NA,NA,NA,NA
1362,1397,45.991944,-73.302778,Tourbière de Lanoraie JOSEPH,NA,NA,NA,NA
1400,1437,54.027778,-76.643889,Kanaaupscow,48728.12485859239,Geographic matching,2,NA
1408,1445,64.166667,-127.616667,Keele Lake,9,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Confirmed Lake with publication, changed area"
1413,1450,47.590278,-52.713889,Kennys Pond,NA,NA,NA,NA
1414,1451,48.365833,-71.566944,Lac Kénogami,NA,NA,NA,NA
1415,1452,49.816667,-102.3,Kenosee Lake,824.8312635344154,Geographic matching,2,NA
1416,3454,44.195833,-79.512778,Marais de Keswick,150,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,From paper
1416,1453,44.195833,-79.512778,Marais de Keswick,150,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,From paper
1416,3453,44.195833,-79.512778,Marais de Keswick,150,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,From paper
1531,1569,46.716667,-70.3,Lac Colin,20.6,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed Lake, Changed Area"
1532,1570,54.8,-67.5,Lac Hamard,15123.443332487202,Geographic matching,2,NA
1533,1571,47.2875,-79.116667,Lac Louis,17.2,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area"
1534,1572,44.263889,-66.079167,Lac à Magie,0.7,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area"
1543,1583,53.2375,-105.725,Lake A,22.476032207641275,Geographic matching,2,NA
1546,1586,53.8,-106.079167,Lake B,18.056205712466365,Geographic matching,2,NA
1547,1587,55.009167,-73.516667,Lake BN7,35.59931585775641,Geographic matching,2,NA
1549,1590,49.683333,-74.583333,Lake CH2,12,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Area given in publication (600x200m), Unable to confirm lake site"
1550,1591,56.283333,-75.1,Lake EC1,4,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,Confirmed site and area with publication (Gajewski 1993)
1551,1592,56.023333,-74.945,Lake EC2,NA,NA,NA,NA
1553,1594,55.110833,-75.248889,Lake GB1,5.026457703318999,Geographic matching,2,NA
1554,1595,56.1,-75.283333,Lake GB2,NA,NA,NA,NA
1556,1598,57.916667,-75.616667,Lake LB1,NA,NA,NA,NA
1557,1599,58.583333,-75.25,Lake LR1,NA,NA,NA,NA
1558,1601,58.578333,-75.245,Lake LR3,NA,NA,NA,NA
1559,1603,58.141667,-75.15,Lake LT1,0.5,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,"Confirmed site with publication (Gajewski 1992), changed area"
1560,1604,73.591389,-98.538889,Lake PWWL,30.161276408931393,Geographic matching,2,NA
1561,1606,46.828333,-80.698333,Lake QC,2.3960492175765675,Geographic matching,2,NA
1562,1607,48.4,-81.316667,Lake Six,NA,NA,NA,NA
1566,1611,51.573333,-55.55,L'Anse aux Meadows Site,2.2,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with pub. and Google Earth, changed area"
1569,1615,46,-73.216944,Tourbière de Lanoraie STJEAN,NA,NA,NA,NA
1571,1617,65.942222,-135.514167,Lateral Pond,3.5,data/by_hand/all_lakes_andria/andrea_areas.csv,2,Site's in the right place.
1576,1622,49.471389,-55.473056,Leading Tickles,777137.3564087473,Geographic matching,2,NA
1579,1626,49.207778,-65.812778,Lac à Léonard,0.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with publication, Changed area"
1591,1640,45.143555,-66.713325,Little Lake,2.9737411173624015,Geographic matching,2,NA
1594,1644,44.8,-76.683056,LDDsite5772,14.9,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area"
1599,1650,52.45,-56.433333,Lake Hope Simpson,65,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Area given in publication, Unable to confirm lake site"
1600,1651,44.668195,-63.93664,Little Lake,NA,NA,NA,NA
1605,1656,54.725278,-112.480833,Lofty Lake,53.93030503074846,Geographic matching,2,NA
1606,1657,56.716667,-119.716667,Lone Fox Lake,63,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,2,Confirmed site and area with pub (MacDonald 1987)
1608,1659,62.633333,-101.233333,Long Lake (CA:Nunavut),NA,NA,NA,NA
1616,1668,46.605833,-71.775,Sainte-Croix de Lotbinière,NA,NA,NA,NA
1618,1670,52.94643,-131.764345,Louise Pond,NA,NA,NA,NA
1629,1684,56.841667,-101.041944,Lynn Lake,NA,NA,NA,NA
1634,1689,45.975,-59.845833,Main-à-Dieu,NA,NA,NA,NA
1636,1691,47.597222,-70.976389,Tourbière du lac Malbaie,NA,NA,NA,NA
1638,1693,52.733333,-117.616667,Maligne Lake,5096.9,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed lake, changed area"
1646,1701,43.225,-80.659722,Maplehurst Lake,8.190871286101968,Geographic matching,2,NA
1647,1703,47.077778,-71.422778,Lac Marcotte,3.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed area with publication, Confirmed site with Google Earth"
1648,1704,68.266667,-133.466667,M Lake,69.3,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with publication, Changed area"
1649,1705,49.308333,-122.547222,Marion Lake,13.9067325313856,Geographic matching,2,NA
1653,1709,56.783333,-64.833333,Lac Martyne,NA,NA,NA,NA
1657,1713,46.8,-72.99,Dauphinais,0.5,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Found based on description & map.  Not publication.
1658,1714,46.746944,-73.130833,Baie des Onze Iles,NA,NA,NA,NA
1659,1715,46.726389,-73.030556,Wapizagonke,NA,NA,NA,NA
1660,1716,46.787778,-72.837778,Sud du Lac du Noyer,0.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with publication, Change area"
1662,1718,45.302778000000004,-66.070833,Mayflower Lake,6.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area"
1663,1719,45.05,-80.09,McCarston's Lake,1190833.0427387673,Geographic matching,2,NA
1665,1721,47,-60.566944,McDougall Pond,NA,NA,NA,NA
1667,1723,45.363333,-76.554167,McLaughlan Lake,NA,NA,NA,NA
1668,1724,64.133333,-110.583333,McMaster Lake,9.746378703339504,Geographic matching,2,NA
1677,1733,65.216667,-126.116667,Lac Mélèze,32,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,2,"Confirmed site with pub (MacDonald 1987), changed area"
1684,1740,46.25,-63.025,Mermaid Bog,NA,NA,NA,NA
1698,1754,47.496944,-70.375833,Lac Mimi,4.728422635593734,Geographic matching,2,NA
1709,1765,47.907778,-71.175,Lac Montagnais,NA,NA,NA,NA
1712,1769,52.266667,-58.05,18 [Moraine Lake],57,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Engstrom et al 1985), changed area"
1713,1770,51.383333,-94.25,Mordsger Lake,NA,NA,NA,NA
1726,1783,71.783333,-122.666667,Muskox Lake,NA,NA,NA,NA
1731,1788,63.016667,-128.8,Natla Bog,NA,NA,NA,NA
1733,1791,57.65,-71.65,Nedlouc,17002.2,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,2,"Confirmed site with Google Earth, changed area"
1742,1800,61.583333,-103.483333,Nicol Lake,NA,NA,NA,NA
1749,1807,46.6,-81.5,Nina Lake,NA,NA,NA,NA
1762,1820,45.216667,-79.45,Nutt Lake,15.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Moved point, confirmed in publication, area is twice as large as reported"
1763,1821,53.516667,-60.166667,Northwest River Pond,0.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Some uncertainty, another lake lies nearby & this assumes part of NW River town is new."
1765,1823,51.359722,-116.35,Lake O'Hara,NA,NA,NA,NA
1770,1829,48.422222,-89.323889,Oliver Pond,3.732355596073924,Geographic matching,2,NA
1776,1835,51.343056,-116.3125,Opabin Lake,NA,NA,NA,NA
1782,1841,47.532778,-68.943889,Lac Ouellet,6.2,data/by_hand/all_lakes_andria/andrea_areas.csv,2,"Confirmed site with Google Earth, changed area"
1788,1847,43.62,-79.48,Palace Pier Section,NA,NA,NA,NA
1790,1849,53.05,-57.75,Paradise Lake,NA,NA,NA,NA
1795,1857,43.18,-81.75,Parkhill Creek,NA,NA,NA,NA
1796,1858,44.22,-76.7,Parrott's Pond,NA,NA,NA,NA
1799,1861,50.78,-104,Pasqua Lake,694.3592595490139,Geographic matching,2,NA
1800,1862,48.56,-88.74,Pass Lake,26.097351262838583,Geographic matching,2,NA
1802,1864,56.67,-64.68,Lac Patricia,NA,NA,NA,NA
1806,1868,44.1,-78.34,Paynter Marsh,33,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Yu et al, 1996), changed area"
1816,1879,43.33,-79.82,Peatsah Section,NA,NA,NA,NA
1819,1883,49.48,-92,Peggy Lake,NA,NA,NA,NA
1823,16231,46.03,-77.34,Perch Lake,31,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Moved based on paper & google map search.
1824,1888,51.651389,-100.898889,Perch Lake,4.604249882967043,Geographic matching,2,NA
1826,1890,50.55,-66.266667,Lac Petel,NA,NA,NA,NA
1838,1902,49.49313,-121.432065,Pinecrest Lake,NA,NA,NA,NA
1840,1904,45.469444,-75.808333,Pink Lake,23,data/by_hand/all_lakes_andria/andrea_areas.csv,2,"Confirmed site with Google Earth, Changed area"
1841,1905,44.82,-79.98,Pitcher Bog,NA,NA,NA,NA
1842,1906,48.596389,-124.196667,Pixie Lake,5.9,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Paper reports 5.3ha, measured with google."
1873,3838,45.691944,-71.428889,Tourbière de Weedon,NA,NA,NA,NA
1877,3565,46.891944,-71.807778,Saint-Raymond,NA,NA,NA,NA
1893,1957,47.843889,-69.352778,Lac Pluvieux,11.118672797511046,Geographic matching,2,NA
1898,1963,42.916667,-81.25,Pond Mills Pond,NA,NA,NA,NA
1899,1964,48.905556,-123.833333,Porphyry Lake,0.4,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,Confirmed site and area with publication (Brown and Hebda 2003)
1900,1965,44.93,-79.78,Porqui Pond,4.578719237777693,Geographic matching,2,NA
1903,1968,46.673611,-64.075,Portage Bog,1.3,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,Confirmed site and area with publication(Anderson)
1912,1978,46.145833,-71.935833,Princeville,13.3,data/by_hand/all_lakes_andria/andrea_areas.csv,2,"Confirmed site, Changed area"
1915,1981,47.075,-64.8,Point Escuminac,958527.7361114704,Geographic matching,2,NA
1937,2004,64.116667,-110.566667,Queens Lake,NA,NA,NA,NA
1945,2013,58.232778,-72.066944,Rivière-aux-Feuilles 1,NA,NA,NA,NA
1946,2015,58.216944,-71.95,Rivière-aux-Feuilles 2,3.9443533450096657,Geographic matching,2,NA
1947,2016,58.232778,-72.066944,Tourbière de la Rivière-aux-Feuilles,NA,NA,NA,NA
1953,2022,65.233333,-126.416667,Ra Lake,NA,NA,NA,NA
1954,2023,45.6,-76.1,Ramsay Lake,21.3,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,Confirmed site with Google Earth. changed area
1957,2028,49.35,-92.7,Rattle Lake,2,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Bjorck, 1985), changed area"
1975,2048,45.670833,-71.325,Vallée de l'Albion,NA,NA,NA,NA
1980,2054,69.116667,-132.166667,Reindeer Lake,3278.2294946510656,Geographic matching,2,NA
1993,2068,54.305556,-84.558333,R Lake,NA,NA,NA,NA
2187,2262,51.6,-55.53,L'Anse aux Meadows Road Cut Bog,NA,NA,NA,NA
2189,2265,48.051944,-65.266944,Lac à Robin,6.265521276398324,Geographic matching,2,NA
2190,2266,48.26,-58.8,Robinson's Pond,12.3,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site, changed area"
2191,2267,56.766667,-64.816667,Lac des Roches Moutonnées,NA,NA,NA,NA
2209,2286,45.963889,-73.330833,Lac Romer,25,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Gave it a nudge, but modern development around the lake may have changed its size."
2210,2287,44.18,-79.44,Rose Swamp,NA,NA,NA,NA
2215,2293,43.5,-81,Rostock Mammoth Site,NA,NA,NA,NA
2219,2297,73.133333,-95.283333,Lake RS29,NA,NA,NA,NA
2225,2303,72.583333,-95.066667,Lake RS36,NA,NA,NA,NA
2240,2319,51.4,-66.216667,Lac au Sable,266.9,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area"
2253,2332,46.654167,-72.978889,Lac à Sam,52,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,2,"Confirmed site with Google Earth, changed area"
2257,2337,54.4,-57.716667,Sandy Cove Pond,109,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Moved based on map & text description in paper.
2261,2341,42.98,-82.32,Sarnia Elk Site Section,NA,NA,NA,NA
2262,2342,46.057778,-74.466944,Lac Manitou,NA,NA,NA,NA
2263,2343,46.171944,-74.395833,Lac aux Quenouilles,NA,NA,NA,NA
2267,2347,46.919444,-55.6125,Lake Site South Burin Peninsula,7.322883521921975,Geographic matching,2,NA
2268,2348,54.416667,-131.906667,SC1 Pond,814752.9674847841,Geographic matching,2,NA
2272,2353,44.85,-79.98,Second Lake,70,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Burden et al, 1986), changed area"
2285,2367,50.140278,-67.131944,LD Lake,NA,NA,NA,NA
2290,2372,49.84135,-99.5763,Sewell Lake,145.23417626418126,Geographic matching,2,NA
2291,2373,48.293889,-72.146944,Saint-Francois de Sales,NA,NA,NA,NA
2294,2376,53.266667,-132.408333,Shangri-La Bog,NA,NA,NA,NA
2295,2377,45.016667,-64.183333,Shaws Bog,NA,NA,NA,NA
2296,2378,45.358889,-72.584722,Mont Shefford,1.3,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Minor nudge.
2300,2382,45.15,-81.416667,Shouldice Lake,26.797074849372137,Geographic matching,2,NA
2302,2384,44.563333,-63.642778,Silver Lake,2.8,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,"Confirmed site with Google Earth, changed area"
2309,2393,49.933333,-91.566667,Sioux Pond,NA,NA,NA,NA
