stid,dsid,site.name,lat,long,edited,notes,area,type,delta
1991,2066,Rice Lake,46.922222,-95.575,2,Confirmed lake: McAndrews 1969,105.3,Lacu,0
2231,2309,Ruby Lake,45.283333,-91.458333,1,Site description: lake. Area: Gajewski et al 1985,6.9,Lacu,0
2273,2354,Sedivy Lake,47.208889,-95.833333,2,"Confirmed lake, site description: kettle lake",12,Lacu,0
2301,2383,Silver Lake,44.895835,-94.20414,2,"Confirmed lake, site description: kettle lake",179.3,Lacu,0
2501,2585,Spectacle Lake,45.572222,-93.408333,2,"Confirmed lake, site description: kettle lake",99.1,Lacu,0
2514,2600,St. Catherines Lake,44.626875,-93.43352,2,"Confirmed lake, site description: kettle lake",47.6,Lacu,0
2518,2605,Stone Lake,45.4,-93.522222,2,"Confirmed lake, site description: kettle lake",15.3,Lacu,0
2550,2640,Thompson Pond,47.19482,-96.09332,2,Assumed correct location in pond (unlabeled),3.2,Lacu,0
2557,2648,Toenjes Lake,45.408950000000004,-93.98171500000001,2,Assumed correct location in lake (unlabeled),3.5,Lacu,0
2792,2888,Upper Graven Lake,46.184444,-95.306944,2,"Confirmed lake: description, Almquist-Jacobson1992",7,Lacu,0
6512,10974,Fawn Lake,45.4072,-93.0532,2,"Confirmed lake, site description: kettle lake",21.4,Lacu,0
7534,12007,Deans Lake,44.775279999999995,-93.44692,2,"Confirmed lake, site description",68.7,Lacu,0
8551,13029,Sharkey Lake,44.5924,-93.4132,2,Assumed correct location in lake (unlabeled),17.9,Lacu,0
8552,13032,Kimble Pond,44.21895,-93.84015,2,Assumed correct location in lake (unlabeled),4.3,Lacu,0
8561,13051,West Olaf Lake,46.598600000000005,-96.18674999999999,2,Confirmed lake: Nelson and Hu 2008,58.1,Lacu,0
8572,13069,Elevenses Lake,46.3815,-91.4935,3,Lynch 2011: confirmed lake and area but cannot loc,2,Lacu,0
9738,14889,Tower Lake,46.542635000000004,-86.037795,1,Confirmed loc. Changed area: Jackson et al 2014,2.6,Lacu,0
9870,14633,Camp Lake,45.16204,-94.0929,2,Confirmed lake: Umbanhowar 2004,48.3,Lacu,0
9871,14635,Crystal Lake,44.333484999999996,-93.212125,2,Confirmed lake: Umbanhowar 2004,13.8,Lacu,0
9873,14639,Fish Lake,44.65162,-93.460155,2,Confirmed lake: Umbanhowar 2004,68.9,Lacu,0
9874,14641,Eagle Lake,44.808755000000005,-93.93439000000001,2,Confirmed lake: Umbanhowar 2004,71.7,Lacu,0
9875,14643,"Lake Emily, Northeast Basin",44.313795,-93.914375,2,Confirmed lake and location: Umbanhowar 2004,99.3,Lacu,0
9947,14803,Burnt Knob Lake,45.706945000000005,-114.9829,2,Changed area: Brunelle and Whitlock 2003,3.5,Lacu,0
9953,14839,Lake Mina,45.89346,-95.47560999999999,1,Confirmed lake: St. Jacques et al 2008,164.6,Lacu,0
9987,20311,Elk Lake,45.8668,-95.80385,2,Confirmed lake: site description,81.7,Lacu,0
10091,15167,Elk Lake,47.189189999999996,-95.21787,2,"Confirmed lake, site descirption: kettle lake",118.1,Lacu,0
10140,15266,Tamarack Lake,44.873850000000004,-93.63463999999999,2,"Confirmed lake, site description: kettle lake",12,Lacu,0
10141,15268,Miller Woods Pond 51,41.603004999999996,-87.285365,3,"Confirmed pond, but not loc. in a pond. Min info",0.5,Lacu,0
10144,15273,Saint Olaf Lake,43.90284,-93.417225,2,"Confirmed lake, site description",36,Lacu,0
10146,15278,Williams Lake,46.95391,-94.66923,2,"Confirmed lake, site description: kettle lake",37.1,Lacu,0
10211,15403,Deep Lake,47.68380500000001,-95.398395,2,Confirmed lake: description and Hu et al 1997,18,Lacu,0
10229,15463,Benach Lake,45.927499999999995,-92.256,2,Site description: Wisconsin DNR waterbody ID,6.1,Lacu,0
10235,15479,Camp Two Lake,46.50045,-91.4105,2,Confirmed lake: Lynch 2011,9.5,Lacu,0
10283,15592,Southern Lake Michigan,41.8505,-87.345,2,Confirmed location: site description,5784291.8,Lacu,0
10412,15882,Warner Lake,46.11935,-92.03985,2,Confirmed lake/loc: Tweiten et al 2009,9.3,Lacu,0
10413,15886,Crystal Lake,42.234015,-88.357005,2,Confirmed lake: Gonzales and Grimm 2009,93.1,Lacu,0
10437,15942,Otter Pond,42.654849999999996,-72.53318999999999,2,Changed area: Fuller et al 1998,3.1,Lacu,0
10543,16255,McDonough Lake,38.70616,-90.01835,2,"Confirmed lake, site description: oxbow lake",24.6,Lacu,0
11563,17304,Capitola Lake,45.519575,-89.55507,2,Confirmed lake: site description,1.9,Lacu,0
11602,17387,Beaver Lake,44.919595,-88.15693999999999,2,Confirmed lake: site description,3.6,Lacu,0
13349,19933,Lily Lake,45.900999999999996,-92.273,2,Confirmed lake: Lynch 2011,8.3,Lacu,0
13627,20613,Plan B Pond,42.41874,-111.77765,3,Min info on location. Area: Lundeen and Brunelle16,2.5,Lacu,0
1762,1820,Nutt Lake,45.216667,-79.45,1,"Moved point, confirmed in publication, area is twice as large as reported",15.8,Lacu,0
2296,2378,Mont Shefford,45.358889,-72.584722,1,Minor nudge.,1.3,Lacu,0
29,29,Lake Allie,44.8036,-94.5579,2,Confirmed lake by site description: kettle lake,203.8,Lacu,0
30,30,Almora Lake,46.206111,-95.293611,2,Confirmed lake: site description and publication.,16.2,Lacu,0
196,3131,Hell's Kitchen Lake,46.18693,-89.702685,2,"Confirmed kettle lake:site description, Gajewski",3,Lacu,0
205,205,Andrus Lake,46.7,-85.040278,2,Diff lake name. Location and area: Kingston 1990,13.4,Lacu,0
238,241,Black Bass Lake,46.128056,-93.703889,2,"Confirmed lake, site description: kettle lake",13.4,Lacu,0
245,249,Beckman Lake,45.425,-93.183333,1,"Confirmed site with Google Earth, changed area",9.5,Lacu,0
266,272,Big John Pond,47.559175,-94.970775,2,Assumed correct location in pond (unlabeled),1.9,Lacu,0
269,275,Billy's Lake,46.27058,-94.551555,2,Assumed correct location in lake (unlabeled),2.7,Lacu,0
272,278,Black Pond,35.620833,-84.186667,1,Confirmed pond and area: Delcourt et al 1986,1.3,Lacu,0
290,296,Bob Lake,46.633611,-92.614722,2,"Confirmed lake, site description: kettle lake",30.8,Lacu,0
306,313,Brown Lake,45.783333,-89.483333,1,Site description: lake. Area: Kingston et al 1990,37,Lacu,0
307,314,"Brown's Bay, Lake Minnetonka",44.95769,-93.545105,2,Confirmed location in site description,5573,Lacu,0
309,316,Browns Pond,38.154722,-79.616389,1,Confirmed pond and area: Kneller and Peteet 1993,0.1,Lacu,0
318,325,Burntside Lake,47.924167,-91.994722,2,"Confirmed lake, site description",2918.1,Lacu,0
327,334,Campbell Lake,44.70722,-93.497645,2,"Confirmed lake, site description: kettle lake",21.7,Lacu,0
371,382,Cindy Pond,47.172305,-94.938965,2,Assumed correct location in pond (unlabeled),1.2,Lacu,0
502,515,Cottonwood Lake,45.76101,-96.01988,2,"Confirmed lake, site description: kettle lake",100.1,Lacu,0
508,521,Crazy Pond,47.182465,-95.73495,2,Assumed correct location in pond (unlabeled),3.2,Lacu,0
531,546,Dark Lake,45.275,-91.475,1,Site description: lake. Area: Gajewski et al 1985,5.3,Lacu,0
558,3493,Mohawk Pond,41.81115,-73.292685,2,"Confirmed lake, site description: kettle lake",6.9,Lacu,0
663,681,Denton Lake,45.85,-89.316667,1,Site descripiton: lake. Area: Kingston et al 1990,20,Lacu,0
666,684,Devils Lake,43.4178,-89.73205,2,Confirmed lake by site description,151.5,Lacu,0
755,774,Dunnigan Lake,47.708333,-91.641667,1,Site description: kettle lake. Area: Kingston 1990,33,Lacu,0
767,786,Eggert Lake,44.47012,-93.619035,2,"Confirmed lake, site description",20.9,Lacu,0
775,795,Ely Lake,41.766667,-75.833333,1,"Confirmed site with Google Earth, changed area",22.7,Lacu,0
799,822,Farquar Lake,44.75815,-93.16449,2,"Confirmed lake, site description: kettle lake",25.3,Lacu,0
801,824,Fawn Lake,46.218889,-94.753333,2,"Confirmed lake, site description: kettle lake",48.9,Lacu,0
807,831,First Pond,41.135278,-75.026667,2,Confirmed pond: description and Russel et al 1993,29.5,Lacu,0
824,850,French Lake,44.945765,-94.42074,2,"Confirmed lake, Grimm 1983",17.8,Lacu,0
827,853,Frying Pan Lake,38.616667,-111.666667,1,"Confirmed site with Google Earth, changed area",2.7,Lacu,0
844,873,Giles Lake,41.376111,-75.093333,2,Confirmed lake: description and Russel et al 1993,47.5,Lacu,0
941,971,Gould Pond,44.983333,-69.316667,1,Anderson et al 1992: confirmed lake and area,3.2,Lacu,0
959,990,Grice Pond,47.2036,-95.755515,2,Assumed correct location in lake (unlabeled),9.1,Lacu,0
1076,1109,Blocknic Lake [Horse Pond],47.181535,-95.86866,2,"Confirmed lake, site description: kettle lake",6.9,Lacu,0
1077,1110,Horseshoe Lake,45.460278,-93.047778,2,"Confirmed lake, site description",42.6,Lacu,0
1078,1111,Hostage Lake,46.55,-94.133333,3,"Descrip: lake, cannot loc. Area: Almendinger 1992",4.6,Lacu,0
1119,1153,Irvin Lake,47.135556,-93.643611,2,"Confirmed lake, site description",2.6,Lacu,0
1359,15274,Jones Lake,45.428085,-93.981475,2,"Confirmed lake, site description",28.4,Lacu,0
1411,1448,Kellners Lake,44.238056,-87.848056,1,"Confirmed site with Google Earth, changed area",11.6,Lacu,0
1514,1552,Kryzewinski Lake,46.353333,-92.870278,2,Assumed correct location in lake (unlabeled),4.3,Lacu,0
1540,1580,Lake Sixteen,45.6,-84.316667,1,Confirmed loc and area: Futyma and Miller 1986,55,Lacu,0
1541,1581,Lake 27,45.066667,-84.783333,1,Confirmed loc and area: Bernabo 1981,45,Lacu,0
1548,1588,Lake Carlson,44.79985,-93.15975,2,Confirmed location: Neotoma. Confirmed lake: descr,4.7,Lacu,0
1582,1629,Lewis Lake,45.749444,-93.364167,2,Confirmed lake: site description,71,Lacu,0
1593,1643,Little Pine Lake,45.283333,-91.483333,2,"Confirmed lake: site description, Gajewski 1985",4.3,Lacu,0
1630,1685,Lake Mabel,44.36044,-93.61535,2,Confirmed lake: site description,39.7,Lacu,0
1643,1698,Mansell Pond,45.041667,-68.733333,1,Description: lake. Area: Almquist-Jacobson 1995,4,Lacu,0
1720,1777,Mud Lake,44.226105,-93.829815,2,Confirmed lake: site description,52.2,Lacu,0
1729,1786,Myrtle Lake,47.982605,-93.3853,2,Confirmed lake: site description,67,Lacu,0
1735,1793,Nels Lake,48.033333,-91.9,1,Confirmed lake and area: Kingston et al 1990,71,Lacu,0
1764,1822,Lake Ogechie,46.133333,-93.783333,2,Confirmed lake: site description,158.9,Lacu,0
1772,1831,Ondris Pond,46.341585,-94.408,2,Confirmed lake: Jacobson 1979. Assumed correct loc,0.8,Lacu,0
1781,1840,Otto Mielke Lake,45.933333,-89.625,3,Kingston et al: area; seepage lake; unkown loc.,11,Lacu,0
1901,1966,Portage Lake,47.081,-94.113,2,"Confirmed lake, site description: kettle lake",61.3,Lacu,0
1976,2049,Redrock Lake,40.083333,-105.541667,1,Nudged the point. Based on paper,2.8,Lacu,0
1978,2051,Reichow Pond,47.190745,-95.77364,2,Assumed correct location in pond - but min info,2.8,Lacu,0
1979,2053,Reidel Lake,46.211944,-95.284167,2,Assumed correct location. Almquist-Jacobson 1992,4.1,Lacu,0
2194,2270,Rogers Lake,41.3525,-72.29915,2,Confirmed lake: Davis 1967,113.1,Lacu,0
2235,2314,Rutz Lake,44.87083,-93.858975,2,"Confirmed lake, site descrition, Waddington 1969",21.9,Lacu,0
2293,2375,Shagawa Lake,47.916667,-91.866667,2,Confirmed lake: Bradbury and Megard 1972,943.4,Lacu,0
2304,2386,Silver Lake,41.25182,-74.98612,2,Confirmed lake: description and Russel et al 1993,56,Lacu,0
2497,2581,Solum Lake,46.662222,-96.25,2,"Confirmed lake, site description: kettle lake",27.9,Lacu,0
2524,2613,Sunfish Lake,44.874722,-93.1,2,"Confirmed lake, site descirption: kettle lake",18.3,Lacu,0
2530,2620,Swan Lake,41.72106,-102.499255,2,Confirmed lake: Wright et al 1985,151.7,Lacu,0
2548,2638,Quallen Lake [Terhell Pond],47.19324,-95.786645,2,"Confirmed lake, site description: kettle lake",11,Lacu,0
2786,2881,Twin Lakes,45.848889,-93.167778,2,"Confirmed lake, site description: kettle lake",9.9,Lacu,0
2851,2948,Wentzel's Pond,46.95,-94.95,3,Confirmed pond and area: Almendinger 1992. Loc??,3.5,Lacu,0
2855,2952,White Lily Lake,46.086111,-93.102778,2,Confirmed lake: site description and Cushing 1967,12,Lacu,0
2859,2956,Willow River Pond,46.324305,-92.78081,2,Assumed correct location in pond (unlabeled),0.6,Lacu,0
2864,2961,Wintergreen Lake,42.4,-85.383333,1,Confirmed lake and area: Manny et al 1978,14.5,Lacu,0
2933,3031,Wolsfeld Lake,45.005015,-93.57276,2,Confirmed lake: description and Grimm 1983,14.8,Lacu,0
2937,3035,Wood Lake,45.333333,-90.083333,1,Site description: kettle lake. Area: Heide 1984,25.3,Lacu,0
2948,3047,Yellow Dog Pond,46.75,-87.95,3,Cannot find lake. Confirmed area: Brubaker 1975,1.5,Lacu,0
2954,3563,Pretty Lake,41.583056,-85.25,1,Confirmed lake and area: Williams 1974,74.5,Lacu,0
3529,4557,Aino Pond,42.679722,-71.926667,2,"Confirmed pond, assumed correct loc. (unlabeled)",1.8,Lacu,0
6506,10970,South Heron Lake,43.7195,-95.228,2,"Confirmed lake, site description: kettle lake",1080.6,Lacu,0
6511,10973,Blomford Lake,45.4935,-93.1545,2,Assumed correct location in lake (unlabeled),8.1,Lacu,0
6513,10975,Frovold Lake,45.377,-95.5625,2,"Confirmed lake, site description: kettle lake",26.2,Lacu,0
7529,12001,Little Dollar Lake,46.186,-85.3082,1,"Confirmed lake: site description, changed area",9,Lacu,0
7532,12005,Cottonwood Lake,44.6173,-95.68015,2,"Confirmed lake, Minnesota DNR Lake ID",148.4,Lacu,0
7535,12008,Lake Emily,44.30865,-93.92,2,"Confirmed lake: ""lake data from Minnesota DNR""",99.3,Lacu,0
7537,12010,Chub Lake,44.5635,-93.218805,2,"Confirmed lake: ""lake data from Minnesota DNR""",90.9,Lacu,0
7538,12011,Lake Rachel,45.80155,-95.55285,2,"Confirmed lake, site description: kettle lake",170.2,Lacu,0
7542,12015,Union Lake,45.81725,-95.34235,2,"Confirmed lake: ""lake data from Minnesota DNR""",42.2,Lacu,0
7543,15248,Albert Lea Lake,43.65255,-93.284,2,"Confirmed lake: ""lake data from Minnesota DNR""",1075.5,Lacu,0
8565,13056,Oak Glen Lake,43.92945,-93.0815,2,"Confirmed lake, site description: kettle lake",76.3,Lacu,0
8566,13057,Camp Lake,45.40595,-95.39015,2,"Confirmed lake, site descirption: kettle lake",85.7,Lacu,0
8573,13071,Eska Lake,45.19145,-90.608,2,Site description: Wisconsin DNR waterbody ID,4.2,Lacu,0
8574,13073,Fallison Lake,45.9915,-89.62075,2,Site description: Wisconsin DNR waterbody ID,20.6,Lacu,0
8585,16251,Horseshoe Lake,38.6867,-90.10375,1,"Confirmed lake, site description: oxbow lake, Confirmed area",1426.6,Lacu,0
9688,14270,Bass Lake,45.19932,-94.878745,2,Confirmed lake: descirption and Umbanhowar 2004,19.7,Lacu,0
9708,14370,Linsley Pond,41.317115,-72.784335,2,Confirmed lake: site description and Brugam 1978,9.3,Lacu,0
9735,14403,Lake Sallie,46.77186,-95.896225,2,Confirmed lake: descirption and Birks et al 1975,508.5,Lacu,0
9762,14435,Johnson Lake,45.44376,-95.272065,2,"Confirmed lake, site description: kettle lake",25.1,Lacu,0
9768,14446,Hell Hole Lake,45.786565,-92.21898,2,Confirmed lake: assumed correct location,1.9,Lacu,0
9824,14535,Lily Lake,44.19291,-93.63978,2,Confirmed lake: description and Umbanhowar 2004,44.9,Lacu,0
9825,14537,Kelly-Dudley Lake,44.354435,-93.365935,2,Confirmed lake and area: Umbanhowar 2004,50,Lacu,0
9826,14539,Martha Lake,45.141805,-93.73915,2,Confirmed lake: Umbanhowar 2004,39.9,Lacu,0
9867,14626,Minnreg,44.693385,-93.3212,2,Assumed correct location in lake (unlabeled),15.4,Lacu,0
