stid,dsid,lat,long,name,area,source,edited,notes,avg_int,max_int,controls
507,16124,43.468275,-79.94872,Crawford Lake,2.4,Neotoma,2,NA,2428.5,6080,5
509,522,43.6,-79.6,Creditview Wetland,234,data/by_hand/claire_data/dataset_1.5.shp,1,"Bog, confirmed with Google Earth",1355,1400,3
511,524,52.116667,-90.083333,Cristal Lake,154.74346107925498,Geographic matching,2,NA,3360,6370,3
512,525,51.65,-116.416667,Crowfoot Lake,17,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,"In Publication, hopefully distinct from Bow Lake",1029.909090909091,2215,12
524,538,48.4075,-89.346667,Cummins Pond,58,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, confirmed with Julig, 1984",1003.3333333333334,1480,4
527,17292,55.266667,-105.266667,Cycloid Lake,20,Neotoma,2,NA,4260,6000,3
533,549,54.883333,-69.4,Daumont,2,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,It's close but I can't quite get it lined up based on the picture & map.,1372.5,2020,5
656,672,43.233333,-80.366667,Decoy Lake,3,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Szeicz 1991), changed area",1961.6666666666667,3700,7
658,675,54.418889,-69.918889,Delorme 1,0.6,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,Now part of a resevoir.  Impossible to find original site.,1776.6666666666667,2740,4
659,677,54.423611,-69.929722,Delorme 2,349282.8816634468,Geographic matching,2,NA,-314,1680,6
660,678,62.05,-118.7,Lac Demain,253,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed with Google Earth",2106.4,3070,6
667,685,75.35,-82.5,Devon Island Glacier,25,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,2,"Confirmed site with Google Earth, changed area",11820.272727272728,70000,12
668,686,60.938889,-69.971944,Diana Cordeau,NA,NA,NA,NA,NA,NA,NA
669,688,60.9875,-69.958333,Diana 375,140,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with pub",2273.3333333333335,3730,4
670,690,60.978889,-69.991944,Diana 500,283,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with neotoma",NA,NA,NA
671,691,48.910833,-66.125,Lac du Diable,11.96627555658984,Geographic matching,2,NA,2000,4420,7
702,722,46.45,-71.5,Dosquet,176,data/by_hand/claire_data/dataset_1.5.shp,1,"Bog, confirmed with Richard, 1977",8835,8835,2
754,773,45.85,-70.35,Lac Dufresne,13.987146758723366,Geographic matching,2,NA,1592.857142857143,3450,8
758,777,53.233333,-58.55,Eagle Lake,265,data/by_hand/claire_data/dataset_1.5.shp,1,"Fluvial, confirmed site with Lamb 1980",2106,4380,6
759,778,57.766667,-112.1,Eaglenest Lake,807,data/by_hand/all_lakes_andria/andrea_areas.csv,1,Checked with Google maps,1576,5960,8
763,782,46.408333,-62.15,East Baltic Bog,1.2,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,2,Confirmed site and area with publication (Anderson),2112.5,3925,5
766,785,44.37,-80.25,Edward Lake,24.144506202380487,Geographic matching,2,NA,2437.5,4100,5
770,3125,50.69095,-99.65835000000001,E Lake,3.9,data/by_hand/all_lakes_andria/andrea_areas.csv,2,"Confirmed Lake, Changed Area",1394.75,3390,9
782,802,61.244444,-100.951389,"Ennadai Lake, 1972 Site",44079.519119062046,Geographic matching,2,NA,955,2090,5
783,803,61.166667,-100.916667,Ennadai Lake,44079.519119062046,Geographic matching,2,NA,468.1818181818182,1390,12
785,805,41.92,-82.76,Lake Erie,247250.90760656988,Geographic matching,2,NA,3167.25,5650,5
788,808,48.351944,-123.681667,East Sooke Fen,0.1,data/by_hand/all_lakes_andria/andrea_areas.csv,2,Confirmed site and area with publication,2348.8,5404,6
789,810,47.609722,-70.615833,Lac à la Fourche,260,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Labelle and Richard, 1981",9490,9490,2
793,815,52.783333,-117.116667,Excelsior Basin,NA,NA,NA,NA,4225,6730,3
797,820,58.866944,-71.716944,Lac Faribault,168,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Google Earth",-533.3333333333334,2040,4
798,821,45.282778,-72.982778,Tourbière de Farnham,410,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Unable to confirm site, Confirmed area: Lavoie, Larouche, Richard 1995",2037.5,5145,5
800,823,45.41,-79.39,Fawn Lake (CA:Ontario),250.1383664523376,Geographic matching,2,NA,3276.6666666666665,4370,4
805,829,56.25,-121.42,Fiddler's Pond,5.5,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with publication, changed area",2426,3960,4
808,832,73.034722,-85.216667,Fish Lake,190,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed with Short, et al. 1993",4517.5,6190,3
810,834,54.742222,-101.681667,Beaverhouse Lake,7.2,data/by_hand/all_lakes_andria/all_lakes_andria.shp,2,Right place,2256.5,3106,5
814,3149,60.356667,-123.646667,John Klondike Bog,160,data/by_hand/claire_data/dataset_1.5.shp,2,"Bog, Confirmed site with Neotoma description",1922.2,3390,6
823,849,49.583333,-93.75,Hayes Lake,NA,NA,NA,NA,2450,4585,5
825,851,43.82,-79.1,Frenchmens Bay,308,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Google Earth",2785,2785,2
829,856,48.21,-84.93,Furnival Lake,273,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Google Earth",2430,5840,4
830,857,46.275833,-73.475833,Saint-Gabriel,275,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, Confirmed with Richard, 1977",1821,4265,6
835,862,44.74,-80.86,"Georgian Bay, Lake Huron (1)",345164.9938935952,Geographic matching,2,NA,1921.6666666666667,3650,7
836,863,45.17,-81.32,"Georgian Bay, Lake Huron (2)",1190833.0427387673,Geographic matching,2,NA,2300,3300,6
837,865,45.995833,-73.992778,Lac Geai,59,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Neotoma",10140,10140,2
842,871,45.945833,-74.370833,Lac à St-Germain,1.5145936521435783,Geographic matching,2,NA,2160,4070,6
845,874,46.066667,-60.391667,Upper Gillies Lake,9.714344852594976,Geographic matching,2,NA,2600,4550,5
849,878,49.448,-99.28965,Jones Lake [Glenboro site],50.90667180771167,Geographic matching,2,NA,1685.7142857142858,4210,8
943,973,45.183333,-77.35,Graham Lake,67,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with Google Earth, changed area",1684.1666666666667,1890,7
944,974,53,-98.25,Grand Rapids,371986.7232180091,Geographic matching,2,NA,2406.6666666666665,4035,4
945,975,64.716667,-100.466667,Grant Lake,NA,NA,NA,NA,1020,1020,2
946,976,52.25,-67.066667,Lac Gras,679.6884601313005,Geographic matching,2,NA,990.1428571428571,2680,8
948,978,55.033333,-62.633333,Gravel Ridge,4763.974724085019,Geographic matching,2,NA,1617.5,2090,5
951,981,49.67,-57.95,Green Point Pond,NA,NA,NA,NA,9313,9313,2
956,986,43.64,-79.47,Grenadier Pond,1.9047611615736488,Geographic matching,2,NA,687.3333333333334,1330,7
957,987,50.768889,-55.516667,Grey Islands,54,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Evans 2002), changed area",1651.1666666666667,2990,7
958,989,54.146944,-76.128889,Lac Griault,48728.12485859239,Geographic matching,2,NA,NA,NA,NA
969,1000,50.320556,-105.883889,Hafichuk Site,48,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, confirmed with Ritchi and Vries 1963",690,1020,3
970,1001,60.033333,-129.016667,Hail Lake,1,data/by_hand/all_lakes_andria/all_lakes_andria.shp,3,No good indication of location and several nearby sites,1357.142857142857,2870,8
971,1002,43.236667,-80.413333,Hams Lake,3.8876685973617584,Geographic matching,2,NA,948.5454545454545,1700,12
972,1003,68.383333,-138.383333,Hanging Lake,57,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"No good map, but could line up from pictures in paper.",1185.7142857142858,4700,22
976,1007,48.2375,-65.838889,Lac Harriman,47.28473094145157,Geographic matching,2,NA,13400,13400,2
977,1008,52.933333,-66.95,Harrie Lake,311,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed site and area with Google Earth",816.375,2471,9
979,1010,47.322222,-53.133333,Hawke Hills Kettle,12,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Macpherson 1982",2439,3187,4
996,1028,58.2,-63.033333,Hebron Lake,157,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Pub. Real name is Char Lake",2783.3333333333335,5600,4
1000,1033,45.988889,-73.3,Tourbière de Lanoraie HENRI,239,data/by_hand/claire_data/dataset_1.5.shp,2,"Bog, Confirmed site with Google Earth",1490,2600,5
1064,3771,56.633333,-63.883333,Snow Lake,152.89548110473393,Geographic matching,2,NA,1756.6666666666667,2180,4
1072,1105,44.516667,-76.6,High Lake,2.5,data/by_hand/all_lakes_andria/andrea_areas.csv,3,Size is reported but insufficient detail to locate lake.,1345,1665,8
1074,1107,64.633333,-138.4,Honeymoon Pond,0.5,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Moved lake based on inset map and pictures.,494.2105263157895,2290,20
1102,1135,43.64,-79.48,Humber Pond 3,259,data/by_hand/claire_data/dataset_1.5.shp,1,"Fluvial, confirmed with Weninger and McAndrews 1989",957.5,1720,5
1103,1136,43.64,-79.49,Humber Pond 5,66,data/by_hand/claire_data/dataset_1.5.shp,1,"Fluvial, confirmed with Weninger and McAndrews, 1989",1303.3333333333333,1820,4
1104,1137,43.65,-79.5,Humber Pond 7,227,data/by_hand/claire_data/dataset_1.5.shp,3,"Fluvial, confirmed with Weninger and McAndrews1989",1727.5,2120,3
1106,1139,48.618611,-58.965,Hynes Brook Salt Marsh,1020608.7250540428,Geographic matching,2,NA,1385,2365,3
1109,1142,66.135,-66.083333,Iglutalik Lake,226.7,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,"Confirmed site, changed area",1763,2565,6
1113,1147,50.916667,-90.45,Indian Lake,244,data/by_hand/claire_data/dataset_1.5.shp,1,"Fluvial, confirmed with Bjorck, 1985",3046.6666666666665,6560,4
1115,1149,44.483333,-77.05,Inglesby Lake,48,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,1,"Confirmed site with pub (Fritz et al, 1987), changed area",1610,2900,7
1123,1157,47.316667,-81.766667,Jack Lake,195,data/by_hand/claire_data/dataset_1.5.shp,1,Confirmed site with Kam-Bui Liu 1990,3090,4040,4
1135,1170,50.1883333333333,-114.518333333333,January Cave [EbPp-Vp],5,data/by_hand/claire_data/dataset_1.5.shp,2,"Terrestrial, Confirmed site wiith Burns, 1990, area of pits given in pub",10000,10000,2
1136,1171,50.22,-80.2,James Bay,NA,NA,NA,NA,953.3333333333334,1710,4
1219,1254,46.932778,-70.932778,Saint-Jean Ile d'Orléans,NA,NA,NA,NA,2033.3333333333333,2620,4
1245,17672,43.95,-79.43,Wilcox Lake,55.160058320610666,Geographic matching,2,NA,1727.25,3158,6
1356,1391,48.24,-58.24,Joes Pond,NA,NA,NA,NA,3660,6145,4
1358,1393,47.257778,-71.162778,Tourbière du lac Joncas,277,data/by_hand/claire_data/dataset_1.5.shp,1,"Bog, confirmed with Neotoma and Google Earth",3570,4710,3
1362,1397,45.991944,-73.302778,Tourbière de Lanoraie JOSEPH,239,data/by_hand/claire_data/dataset_1.5.shp,1,"Bog, Confirmed site with Google Earth",1596.6666666666667,2450,4
1400,1437,54.027778,-76.643889,Kanaaupscow,48728.12485859239,Geographic matching,2,NA,3850,6450,3
1408,1445,64.166667,-127.616667,Keele Lake,9,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Confirmed Lake with publication, changed area",1998.3333333333333,3440,7
1413,1450,47.590278,-52.713889,Kennys Pond,187,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed site with Google Earth",2150.5,3630,5
1414,1451,48.365833,-71.566944,Lac Kénogami,271,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Google Earth",3815,4600,3
1415,1452,49.816667,-102.3,Kenosee Lake,824.8312635344154,Geographic matching,2,NA,2535.5,2801,3
1416,3454,44.195833,-79.512778,Marais de Keswick,150,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,From paper,1300,2470,4
1416,1453,44.195833,-79.512778,Marais de Keswick,150,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,From paper,NA,NA,NA
1416,3453,44.195833,-79.512778,Marais de Keswick,150,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,From paper,NA,NA,NA
1531,1569,46.716667,-70.3,Lac Colin,20.6,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed Lake, Changed Area",1231.111111111111,2370,10
1532,1570,54.8,-67.5,Lac Hamard,15123.443332487202,Geographic matching,2,NA,2066.6666666666665,2840,4
1533,1571,47.2875,-79.116667,Lac Louis,17.2,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area",2267.5,4135,5
1534,1572,44.263889,-66.079167,Lac à Magie,0.7,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area",953.3333333333334,1660,4
1543,1583,53.2375,-105.725,Lake A,22.476032207641275,Geographic matching,2,NA,5780,11510,3
1546,1586,53.8,-106.079167,Lake B,18.056205712466365,Geographic matching,2,NA,5130,10210,3
1547,1587,55.009167,-73.516667,Lake BN7,35.59931585775641,Geographic matching,2,NA,1635,2430,5
1549,1590,49.683333,-74.583333,Lake CH2,12,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Area given in publication (600x200m), Unable to confirm lake site",1276.6666666666667,1860,7
1550,1591,56.283333,-75.1,Lake EC1,4,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,Confirmed site and area with publication (Gajewski 1993),1447.5,2560,5
1551,1592,56.023333,-74.945,Lake EC2,141,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed site with Gajewski, et al 1996",1412.5,3570,5
1553,1594,55.110833,-75.248889,Lake GB1,5.026457703318999,Geographic matching,2,NA,1883.3333333333333,2380,4
1554,1595,56.1,-75.283333,Lake GB2,253,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, unable to confirm location,area confirmed with Gajewski et al. 1993",1560,2960,5
1556,1598,57.916667,-75.616667,Lake LB1,183,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, unable to confirm location,area confirmed with Gajewski et al. 1993",1525,2240,5
1557,1599,58.583333,-75.25,Lake LR1,128,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, unable to confirm location,area confirmed with Gajewski et al. 1993",1685,1980,5
1558,1601,58.578333,-75.245,Lake LR3,153,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Gajewski, 1992",1783.3333333333333,2730,4
1559,1603,58.141667,-75.15,Lake LT1,0.5,data/by_hand/Simon_Lakes_2/Simon_Lakes_2.shp,1,"Confirmed site with publication (Gajewski 1992), changed area",1477.5,3600,5
1560,1604,73.591389,-98.538889,Lake PWWL,30.161276408931393,Geographic matching,2,NA,1809,2520,6
1561,1606,46.828333,-80.698333,Lake QC,2.3960492175765675,Geographic matching,2,NA,2866.6666666666665,3590,4
1562,1607,48.4,-81.316667,Lake Six,278,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed with Pub",2323.3333333333335,3190,4
1566,1611,51.573333,-55.55,L'Anse aux Meadows Site,2.2,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with pub. and Google Earth, changed area",809.6666666666666,1161,4
1569,1615,46,-73.216944,Tourbière de Lanoraie STJEAN,239,data/by_hand/claire_data/dataset_1.5.shp,2,"Bog, Confirmed site with Google Earth",1182.5,1880,5
1571,1617,65.942222,-135.514167,Lateral Pond,3.5,data/by_hand/all_lakes_andria/andrea_areas.csv,2,Site's in the right place.,3506.75,6827,5
1576,1622,49.471389,-55.473056,Leading Tickles,777137.3564087473,Geographic matching,2,NA,2646.4,4232,6
1579,1626,49.207778,-65.812778,Lac à Léonard,0.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with publication, Changed area",1808,3190,6
1591,1640,45.143555,-66.713325,Little Lake,2.9737411173624015,Geographic matching,2,NA,1800,2880,8
1594,1644,44.8,-76.683056,LDDsite5772,14.9,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area",2750,5600,5
1599,1650,52.45,-56.433333,Lake Hope Simpson,65,data/by_hand/all_lakes_andria/andrea_areas.csv,3,"Area given in publication, Unable to confirm lake site",1733.3333333333333,3110,7
1600,1651,44.668195,-63.93664,Little Lake,29,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, confirmed with Google Earth",955,1680,5
1605,1656,54.725278,-112.480833,Lofty Lake,53.93030503074846,Geographic matching,2,NA,1902.5,3475,7
1606,1657,56.716667,-119.716667,Lone Fox Lake,63,data/by_hand/dataset_2017-11-15/dataset_2017-11-15.shp,2,Confirmed site and area with pub (MacDonald 1987),1788.6666666666667,2930,7
1608,1659,62.633333,-101.233333,Long Lake (CA:Nunavut),204,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Kay, 1979",2784,3763,3
1616,1668,46.605833,-71.775,Sainte-Croix de Lotbinière,206,data/by_hand/claire_data/dataset_1.5.shp,2,"Bog,confirmed with Richard, 1977",NA,NA,NA
1618,1670,52.94643,-131.764345,Louise Pond,35,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed site with Pellatt and Mathewes 2016",1974,2910,6
1629,1684,56.841667,-101.041944,Lynn Lake,104,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, Confirmed site with Google Earth",1248.8,2965,6
1634,1689,45.975,-59.845833,Main-à-Dieu,43,data/by_hand/claire_data/dataset_1.5.shp,2,"Lacustrine, confirmed site with Mayle and Cwynar, 1995",830,830,2
1636,1691,47.597222,-70.976389,Tourbière du lac Malbaie,119,data/by_hand/claire_data/dataset_1.5.shp,2,"Bog, confirmed with Google Earth",3500,4240,4
1638,1693,52.733333,-117.616667,Maligne Lake,5096.9,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed lake, changed area",3780,4160,3
1646,1701,43.225,-80.659722,Maplehurst Lake,8.190871286101968,Geographic matching,2,NA,2500,5230,6
1647,1703,47.077778,-71.422778,Lac Marcotte,3.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed area with publication, Confirmed site with Google Earth",2200,4040,6
1648,1704,68.266667,-133.466667,M Lake,69.3,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with publication, Changed area",2265,3550,6
1649,1705,49.308333,-122.547222,Marion Lake,13.9067325313856,Geographic matching,2,NA,1543.75,4705,9
1653,1709,56.783333,-64.833333,Lac Martyne,161,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Google Earth",1986.6666666666667,2515,4
1657,1713,46.8,-72.99,Dauphinais,0.5,data/by_hand/all_lakes_andria/all_lakes_andria.shp,1,Found based on description & map.  Not publication.,NA,NA,NA
1658,1714,46.746944,-73.130833,Baie des Onze Iles,53,data/by_hand/claire_data/dataset_1.5.shp,1,"Bog/Swamp, confirmed with Google Earth",NA,NA,NA
1659,1715,46.726389,-73.030556,Wapizagonke,214,data/by_hand/claire_data/dataset_1.5.shp,1,"Lacustrine, confirmed with Google Earth",4865,6030,3
1660,1716,46.787778,-72.837778,Sud du Lac du Noyer,0.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with publication, Change area",1934,5145,6
1662,1718,45.302778000000004,-66.070833,Mayflower Lake,6.8,data/by_hand/all_lakes_andria/andrea_areas.csv,1,"Confirmed site with Google Earth, changed area",783.3333333333334,1326,4
1663,1719,45.05,-80.09,McCarston's Lake,1190833.0427387673,Geographic matching,2,NA,2205,6430,5
